Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 5
235.0,2018-11-30 00:00:00,dem. Aktion,Freiheit für Abdullah Öcalan - Frieden in Kurdistan,Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz (Zwischenkundgebung) – Gerberau – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung),
236.0,2018-12-02 00:00:00,dem. Aktion,Europäische Einigung,Platz der Alten Synagoge,
237.0,"05.01./19.01.2019, 02.02./16.02.2019, 09.03./23.03.2019",dem. Aktion,Vegane Ernährung,Platz der Alten Synagoge und Bertoldsbrunnen,
238.0,2018-12-01 00:00:00,dem. Aktion,Menschenrechte ,Platz der Alten Synagoge,
239.0,2018-12-13 00:00:00,dem. Aktion,Überwachung und Privatsphäre,Platz der Alten Synagoge,
240.0,2018-12-06 00:00:00,dem. Aktion,Wohnraum für Alle,Platz der Alten Synagoge,
241.0,2018-12-14 00:00:00,dem. Aktion,"Mahnwachen für den Frieden, Abrüsten statt Aufrüsten",Bertoldsbrunnen,
242.0,2018-12-08 00:00:00,dem. Aktion,Wandel findet Stadt,Platz der Alten Synagoge,
243.0,11.12.2018                       12.12.2018                                 13.12.2018,dem. Aktion,Solidarität ,Platz der Alten Synagoge,
244.0,2018-12-08 00:00:00,dem. Aktion,Stadtteilprojekt Dietenbach,Platz der Alten Synagoge,
245.0,2018-12-07 00:00:00,dem. Aktion,Hochschulgruppe Amnesty International Freiburg,Platz der Alten Synagoge,
246.0,2018-12-08 00:00:00,dem. Aktion,Klimawandel und Hausbesetzung Guntramstraße,Bertoldsbrunnen,
247.0,2018-12-07 00:00:00,dem. Aktion,Hausbesetzung Guntramstraße,Guntramstraße,
248.0,2018-12-12 00:00:00,dem. Aktion,#MachtLichtAn,Münsterplatz ,
249.0,2018-12-17 00:00:00,dem. Aktion,Mahnwache für die Tiere,vor dem Schlachthofgelände Tullastr. 73 Freiburg,
250.0,2018-12-15 00:00:00,dem. Aktion,"Braunkohle in Deutschland, Divestment",Platz der Alten Synagoge,
251.0,2018-12-20 00:00:00,dem. Aktion,Tag X + 1,Rathausplatz,
252.0,2018-12-22 00:00:00,dem. Aktion,Stadtteilprojekt Dietenbach,Platz der Alten Synagoge,
