Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
517.0,2020-12-22 00:00:00,Mir Längts ! Schluss mit Lockdown,Autokorso,,,
518.0,2020-12-23 00:00:00,gegen Feminizid - gegen Patriarchat,Platz der Alten Synagoge,,,
519.0,"28.12.2020
04.01.2021",Rhythmus verbindet,"Dreisamwiese, Höhe Ochsenspielplatz rechts der Dreisam. Von dort Richtung Sandfangweg und links der Dreisam zurück zum Ausgangspunkt",,,
520.0,2020-12-29 00:00:00,Stopt das Impfexperiment,Autokorso,,,
521.0,2020-12-30 00:00:00,Silvester lautstark zum Knast,Sautierstr.- Hermann-Herder-Str.- Stephan-Meier-Str. - Tennenbacher Str. - Sautierstr.,,,
522.0,,,,,,
523.0,,,,,,
524.0,,,,,,
525.0,,,,,,
526.0,,,,,,
527.0,,,,,,
528.0,,,,,,
529.0,,,,,,
530.0,,,,,,
531.0,,,,,,
532.0,,,,,,
533.0,,,,,,
534.0,,,,,,
535.0,,,,,,
536.0,,,,,,
537.0,,,,,,
538.0,,,,,,
539.0,,,,,,
540.0,,,,,,
541.0,,,,,,
542.0,,,,,,
543.0,,,,,,
544.0,,,,,,
545.0,,,,,,
546.0,,,,,,
547.0,,,,,,
548.0,,,,,,
549.0,,,,,,
550.0,,,,,,
551.0,,,,,,
552.0,,,,,,
553.0,,,,,,
554.0,,,,,,
555.0,,,,,,
556.0,,,,,,
557.0,,,,,,
558.0,,,,,,
559.0,,,,,,
560.0,,,,,,
561.0,,,,,,
562.0,,,,,,
563.0,,,,,,
564.0,,,,,,
565.0,,,,,,
566.0,,,,,,
567.0,,,,,,
568.0,,,,,,
569.0,,,,,,
570.0,,,,,,
571.0,,,,,,
572.0,,,,,,
573.0,,,,,,
574.0,,,,,,
575.0,,,,,,
576.0,,,,,,
577.0,,,,,,
578.0,,,,,,
579.0,,,,,,
580.0,,,,,,
581.0,,,,,,
582.0,,,,,,
583.0,,,,,,
584.0,,,,,,
585.0,,,,,,
586.0,,,,,,
587.0,,,,,,
588.0,,,,,,
589.0,,,,,,
590.0,,,,,,
591.0,,,,,,
592.0,,,,,,
593.0,,,,,,
594.0,,,,,,
595.0,,,,,,
596.0,,,,,,
597.0,,,,,,
598.0,,,,,,
599.0,,,,,,
600.0,,,,,,
