Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
367,2016-10-20 00:00:00,Protestveranstaltung gegen die Luftangriffe der türkischen Luftwaffe auf kurdische Einheiten in Nordsyrien,2016-10-21,17:00-19:00,DU-Stadtmitte; Portsmouthplatz,150-200
368,2016-10-24 00:00:00,Freiheit für Delfine im Duisburger Zoo 2016,2016-10-30,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,50
369,2016-10-27 00:00:00,Protest gegen die Festnahme des Oberbürgermeisters Diyarbakirs,2016-10-27,17:00-19:00,DU-Stadtmitte; Portsmouthplatz,60-100
370,2016-10-31 00:00:00,1. November - Dem Internationalen Tag der Solidarität mit Kobane,2016-11-01,14:00-19:00,DU-Marxloh; Kaiser-Wilhelm-Straße (Piazza),150-200
371,2016-11-03 00:00:00,Auf dem richtigen Kurs - mit Integrationskurs?,2016-11-07,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Königstraße - Mercatorstraße - Portsmouthplatz,20-30
372,2016-11-03 00:00:00,Die Welt im (Klima-) Wandel?,2016-11-14,17:30-18:30,DU-Stadtmitte; Lifesaver - Forum Königstraße - Lifesaver,20-30
373,2016-11-03 00:00:00,Was bedeutet CETA-Freihandelsabkommen?,2016-11-21,17:30-18:30,DU-Stadtmitte; Averdunkplatz,20-30
374,2016-11-03 00:00:00,Weihnachten mit Hartz IV,2016-11-28,17:30-18:30,DU-Stadtmitte; Averdunkplatz,20-30
375,2016-11-03 00:00:00,Die Zukunftsperspektive der Flüchtlinge,2016-12-05,17:30-18:30,DU-Stadtmitte; Averdunkplatz - Mercatorstraße - Portsmouthplatz,20-30
376,2016-11-03 00:00:00,Jahresrückblick 2016,2016-12-12,17:30-18:30,DU-Stadtmitte; Averdunkplatz,20-30
377,2016-11-04 00:00:00,Protest gegen die Verhaftung des Vorsitzenden der HDP,2016-11-04,16:00-17:00,DU-Stadtmitte; Portsmouthplatz,40-60
378,2016-11-08 00:00:00,Integrationspolitik - Der Umgang mit den Flüchtlingen in Duisburg,2016-11-24,14:00-17:00,DU-Stadtmitte; Burgplatz,40-50
379,2016-11-08 00:00:00,Gegen den Baumfäll-Kahlschlag in Duisburg,2016-11-24,14:30-17:00,DU-Stadtmitte; Burgplatz,50
