Anzahl Vers.,Datum ,SB,Thema,Versammlungen Ort,Uhrzeit,erwartete Teilnehmerzahl,Vermerk,interner Vermerk,Anzahl Aufzüge,Datum,SB.1,Thema.1,Anzahl Teilnehmer,Vermerk.1
121.0,2022-05-07 00:00:00,fo,"Kundgebung zum Jahrestag der Befreiung: ""Nie wieder Faschismus! Krieg sofort stoppen! Abrüstung statt Hochrüstung!""",SJM,13:00 Uhr - 15:00 Uhr,20,,erl.,48,erl. 07.05.2022,sa,Defend Kurdistan: Freiheit für Öcalan,200,
122.0,2022-05-08 00:00:00,sa,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,49,erl. 08.05.2022,fo,Autokorso gegen die Diskriminierung der Russisch Sprachigen,,100-150PKW
123.0,2022-05-08 00:00:00,fo,Tag der Berfreiung,Neue Bremm,11:00 Uhr - 12:30 Uhr,20-40,zurückgezogen vom Anmelder,erl.,,,,,,
124.0,2022-05-09 00:00:00,fo,Menschen über 60 Perspektiven aufzeigen,vor Thalia,11:30 Uhr - 13:00 Uhr,15-20, ,erl.,50,erl. 09.05.2022,fo,Andenken an die Opfer des zweiten Weltkrieges. Nein zum Nazismus,50-80,
,,,,,,,,,,,,,,
,,,,,,,,,51,erl.12.05.2022,fo,Tarifrunde Sozial- und Erzieungsdienst,500,
125.0,2022-05-14 00:00:00,fo,Sühne und Bittebet für die Ungeborenen,Am Staden Ecke Heinestraße,11:00 Uhr - 11:30 Uhr,15,,erl,52,erl. 14.05.2022,fo,Kidical Mass,100-1000,
126.0,2022-05-15 00:00:00,sa,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
127.0,2022-05-15 00:00:00,fo,Mahnwache gegen absurde Demonstrationen verwirrter Spaziergänger:innen,Sparkasse Ecke Nassauerstraße,14:30 Uhr - 16:30 Uhr,30,,erl.,53,erl. 15.05.2022,fo,Freiden/Freiheit und Selbstbestimmung,1000,
128.0,2022-05-21 00:00:00,sa, Botschaft der Bibel,ECE,11:30 Uhr - 16:30 Uhr,15,,erl.,,,,,,
129.0,2022-05-21 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,,,erl.,,,,,,
130.0,2022-05-22 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
131.0,2022-05-25 00:00:00,fo,Justice for Kurds zur Streichung der PKK von der Terrorliste,vor ECE,12:00 Uhr - 15:30 Uhr,15,,erl.,,,,,,
132.0,2022-05-28 00:00:00,fo,Tiere sind uns nicht Wurst!,Galeria Kaufhof,14:30 Uhr - 17:30 Uhr,15,,erl.,,,,,,
133.0,2022-05-28 00:00:00,fo,"Christi Himmelfahrt, heute noch aktuell? Mythos oder Wirklichkeit?",vor Thalia,10:00 Uhr - 15:00 Uhr,5,,erl.,,,,,,
134.0,2022-05-29 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 uhr - 15:00 Uhr,300-500,,erl.,,,,,,
135.0,2022-05-31 00:00:00,fo,Standkundgebung zum Gedenken der Kriegsopfer von Bosnien und Herzegowina/Prijedor,SJM,18:00 Uhr - 19:00 Uhr,30-50,,erl.,,,,,,
136.0,2022-06-03 00:00:00,fo,Protestaktion: 100 Milliarden für dasLeben - nicht für den Tod- Abrüsten statt aufrüsten,SJM,16:00 Uhr - 17:00 Uhr,10,,erl.,,,,,,
137.0,2022-06-04 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,,,erl.,,,,,,
138.0,2022-06-05 00:00:00,fo,Pferde sind keine Sportgeräte!,Kreisel Güdingen,11:00 Uhr - 14:30 Uhr,15,,erl.,,,,,,
,,,,,,,,,54,erl. 06.06.2022,fo,Ein Hund ist kein Statussymbol-überfüllte Tierheime,50-100,
139.0,2022-06-08 00:00:00,fo,Botschaft der Bibel in Bezug auf unser Grundgesetz,vor Thalia,11:30 Uhr - 16:30 Uhr,15,abgesagt,erl.,,,,,,
140.0,2022-06-11 00:00:00,fo,Falun Gong,vor Thalia,12:00 Uhr - 16:00 Uhr,8,,erl.,55,erl. 11.06.2022,fo,Defend Kurdistan,150-200,
141.0,2022-06-11 00:00:00,fo,Sühne und Bittgebet für die Ungeborenen,Am Staden Ecke Heinestraße,11:00 Uhr - 11:30 Uhr,15-22,,erl.,,,,,,
142.0,2022-06-11 00:00:00,,Lieferkettengesetz,vor ECE,,,,wurde als Infostand bearbeitet/Sensibilierung StA 32.3 und Anmelderin ist erfolgt,,,,,,
143.0,2022-06-12 00:00:00,fo,Kriegsgeschehen in der Ukraine,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,56,erl. 12.06.2022,fo,CSD,1500,
,,,,,,,,,57,erl. 13.06.2022,fo,Montagsdemo,20,
144.0,2022-06-15 00:00:00,fo,Spontanversammllung bzgl. türk. Luftangriffe im Nordirak,vor ECE,18:00 Uhr - 18:45 Uhr,20,Spontanversammlung,,,,,,,
145.0,2022-06-16 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,,,erl.,,,,,,
146.0,2022-06-17 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,,,erl.,,,,,,
147.0,2022-06-18 00:00:00,fo ,"Mahnwache - Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,,,erl.,,,,,,
148.0,2022-06-18 00:00:00,fo,"Verkündigung der frohen Botschaft, des Evangeliums, dem Menschen zum Heil, Gott zurEhre",vor ECE,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
149.0,2022-06-18 00:00:00,,Botschaft der Bibel in Bezug auf unser Grundgesetz,vor Thalia,11:30 Uhr - 16:30 Uhr,zehn,Anmeldung wurde seitens 32.2 nicht bearbeitet,,,,,,,
150.0,2022-06-19 00:00:00,fo,Mahnwache gegen absurde Demonstrationen verweirrter Spaziergäner/innen mit zuviel Tagesfreizeit und besorgniserregendem Herdenverhalten,Sparkasse/Nassauerstraße,14:00 Uhr - 16:30 Uhr,20,,erl.,58,erl. 19.06.2022,fo,Frieden/Freiheit/Selbstbestimmung,1000,
151.0,2022-06-25 00:00:00,fo,Botschaft der Bibel in Bezug auf unser Grundgesetz,vor Thalia,11:30 Uhr - 16:30 Uhr,10,,erl. ,,,,,,
152.0,2022-06-25 00:00:00,fo,Ich bin kein Testobjekt! (Informationen zur EU-Bürgerinitiative für den Schutz kosmetischer Mittel ohne Tierquälerei und ein Europa ohne Tierversuche),vor Thalia,14:30 Uhr - 17:30 Uhr ,15,,erl.,,,,,,
153.0,2022-06-25 00:00:00,fo,Für mehr Kraftorte und gegen oxidierende Aluhüte,Am Halberg 1,9:30 Uhr - 12:00 Uhr,5bis10,,erl.,,,,,,
,,,,,,,,,,,,,,
154.0,2022-06-26 00:00:00,fo,Kriegsgeschehen in der Ukraine,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
,2022-06-26 00:00:00,,,,,,,,,,,,,
155.0,2022-06-29 00:00:00,fo,antimuslimischer Rassismus,Bahnhofstraße vor Lego,14:00 Uhr - 19:00 Uhr,10,,erl.,,,,,,
156.0,2022-06-29 00:00:00,fo,antimuslimischer Rassismus,Dudweiler Markt,10:00 Uhr - 12:30 Uhr,10,,erl.,,,,,,
157.0,2022-06-30 00:00:00,fo,Antimuslimischer Rassismus,Tbilisser Platz,12:00 Uhr -18:00 Uhr,40,,erl.,,,,,,
158.0,2022-07-01 00:00:00,fo,Auftaktsveranstaltung der Afrika-Wochen,Vorplatz Europa-Galerie,16:00 Uhr - 20:00 Uhr ,200,,erl.,,,,,,
159.0,2022-07-02 00:00:00,fo,"Mahnwache unter dem Motto ""Massaker von Sivas 1993""",ECE (an der Mauer),13:00 Uhr - 17:00 Uhr,80,,erl.,,,,,,
160.0,2022-07-02 00:00:00,fo,"Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
,,,,,,,,,,,,,,
161.0,2022-07-03 00:00:00,fo,Kinder- und Jugend Soccer-Tunier,Landwehrplatz,11:00 Uhr - 19:00 Uhr,150,,erl.,,,,,,
162.0,2022-07-03 00:00:00,fo,Mahnwache gegen absurde Demonstrationen verweirrter Spaziergäner/innen mit zuviel Tagesfreizeit und besorgniserregendem Herdenverhalten,Gustav-Regler-Platz,18:30 Uhr - 20:30 Uhr,20,,erl.,59,erl. 03.07.2022,fo,Frieden/Freiheit/Selbstbestimmung,500,
,,,,,,,,,60,erl. 04.07.2022,fo,Montagsdemo,20,
163.0,2022-07-09 00:00:00,fo,Viertel retten,MOP,14:30 Uhr - 17:00 Uhr,200,,erl.,,,,,,
164.0,2022-07-09 00:00:00,fo,Sühne- und Bittgebet für die Ungeborenen,Am Staden Ecke Heinestraße ,11:00 Uhr - 11:30 Uhr,15-22,,erl.,,,,,,
165.0,2022-07-09 00:00:00,fo,Menschanffen raus aus dem Zoo,vor dem Zoo SB,14:00 Uhr - 17:30 Uhr,15,,erl.,,,,,,
166.0,2022-07-09 00:00:00,fo,"Verkündigung der frohen Botschaft, des Evangeliums, dem Menschen zum Heil, Gott zurEhre",vor ECE,10:00 Uhr- 15:00 Uhr,5 bis 10,,erl.,,,,,,
167.0,2022-07-10 00:00:00,fo,Kriegsgeschehen in der Ukraine ,Landwehrplatz,13:00 Uhr - 15:00 Uhr ,300-500,,erl.,61,erl. 10.07.2022,fo,Schweigemarsch zum Gedenken an die Kriegsopfer,50,
168.0,2022-07-11 00:00:00,fo,Standkundgebung zum Gedenken der Kriegsopfer von Bosnien und Herzegowina/Prijedor,SJM,18:00 Uhr - 19:00 Uhr,30-50,abgesagt,erl.,,,,,,
169.0,2022-07-14 00:00:00,al,Mahnwache gegen Zensur der Medien ,Franz-Mai-Straße 1,17:00 Uhr - 20:00 Uhr ,200,"geändert, Aufzug",,62,erl. 14.07.2022,al,Aktion Ard Leuchtturm ,200,
,,,,,,,,,,,,,,
170.0,2022-07-15 00:00:00,al,Bund Saarländischer Justizvollzugsbediensteter ,"vor der Staatskanzlei, Am Ludwigsplatz 14 ",08:30 Uhr - 09:30 Uhr ,15,,erl.,,,,,,
171.0,2022-07-16 00:00:00,fo,"Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
172.0,2022-07-16 00:00:00,al,Botschaft der Bibel in Bezug auf unser Grundgesetz,Vor LEGO,11:30 Uhr - 16:30 Uhr ,10,,erl.,,,,,,
173.0,2022-07-16 00:00:00,fo,Afrika-Bazar im Rahmen der Afrika-Wochen,vor ECE,10:00 Uhr - 19:00 Uhr,300,,erl. vom 17. auf den 16. verlegt wg. Verkaufsverbot an SonntagenVersammlulng oder lediglich Verkaufsstände?,,,,,,
,2022-07-17 00:00:00,fo,Anmeldung NICHT eingegangen,Sparkasse/Nassauerstraße,,,,,63, 17.07.2022,fo,"gegen Zensur, Inflation stoppen, Frieden ",500,erl.
,,,,,,,,,,,,,,
174.0,2022-07-17 00:00:00,fo,Sprayaktion,vor ECE,13:00 Uhr - 17:00 Uhr,15-20,,erl.,,,,,,
,,,,,,,,,64,2022-07-19 00:00:00,fo,10 Jahre Rojava: Revolution verteidigen!,100,erl.
,,,,,,,,,65,2022-07-19 00:00:00,fo,Fahrraddemo - Inkusion,30-50,
,,,,,,,,,66,2022-07-20 00:00:00,al,"Lebensmittelrettung, gegen Lebensmittelverschwendung ",8,abgesagt 
175.0,2022-07-21 00:00:00,fo,VdK-Pflegekampagne,vor ECE,11:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
176.0,2022-07-23 00:00:00,fo,Abschlussveranstaltung der Afrika-Wochen,Reichsstraße,16:00 Uhr - 20:00 Uhr,200,,erl.,,,,,,
177.0,2022-07-23 00:00:00,Xa,Falun Gong,vor Karstadt,12:00 Uhr - 17:00 Uhr,10,,erl.,,,,,,
178.0,2022-07-23 00:00:00,Xa,Botschaft der Bibel in Bezug auf unser Grundgesetz,ECE 1,11:30 Uhr - 16:30 Uhr ,10,,erl.,,,,,,
179.0,2022-07-23 00:00:00,Xa,"Verkündigung der frohen Botschaft, des Evangeliums, dem Menschen zum Heil, Gott zurEhre",ECE 2,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
180.0,2022-07-24 00:00:00,fo,Kriegsgeschehen in der Ukraine,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr ,300-500,,erl,,,,,,
,,,,,,,,,67,2022-07-28 00:00:00,al ,Aktion ARD Leuchtturm ,20,erl.
,,,,,,,,,,,,,,
181.0,2022-07-30 00:00:00,fo,"Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,20,,erl.,68,2022-07-30 00:00:00,fo,Für die Schließung aller Schlachthäuser,100-150,erl.
,2022-07-31 00:00:00,,,,10:00 Uhr - 19:00 Uhr,,,,69,abgesagt 31.07.2022,fo,Frieden/Freiheit/Selbstbestimmun,500,abgesagt
,,,,,,,,,70,2022-08-01 00:00:00,al,Montagsdemo,20,erl. 
182.0,2022-08-03 00:00:00,fo,Jahres Völkermord in Shengal ,ECE ,18:30 Uhr - 20:00 Uhr ,50,,erl.,,,,,,
,,,,,,,,,71,erl. 04.08.2022,fo,ARD Leuchtturm,,
183.0,2022-08-06 00:00:00,fo,Hiroshimatag 2022 - Atomwaffen ächten ,Rathausplatz,12:00 Uhr - 14:00 Uhr ,15,,erl.,,,,,,
,,,,,,,,,,,,,,
184.0,2022-08-07 00:00:00,fo,Kriegsgeschehen in der Ukraine,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
185.0,2022-08-11 00:00:00,he,Mahnwache um Rahmen von ARD Leuchtturm,Halberg Rundfunk,17:00 uhr - 18:30 uhr,20,,erl. ,,,,,,
186.0,2022-08-13 00:00:00,he,"Tierrechte, Veganismus",Bahnhofstraße vor LEGO,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
187.0,2022-08-13 00:00:00,he,Sühne- und Bittgebet für die Ungeborenen,Heinestr. / Am Staden,11:00 Uhr - 11:30 Uhr,15-22,,erl. ,,,,,,
188.0,2022-08-13 00:00:00,he,"Verkündigung der frohen Botschaft, des Evangeliums, dem Menschen zum Heil, Gott zurEhre",ECE 2,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
189.0,2022-08-13 00:00:00,he,Angriffe auf Rojava (Syrien),ECG,15:00 Uhr - 16:00 Uhr,60,,erl.,,,,,,
190.0,2022-08-15 00:00:00,he,Pferde sind keine Sportgeräte!,Kreisel Güdingen,12:00 Uhr - 14:30 Uhr,15,,erl.,,,,,,
191.0,2022-08-18 00:00:00,he,Mahnwache um Rahmen von ARD Leuchtturm,Halberg Rundfunk,17:00 uhr - 18:30 uhr,20,,erl. ,,,,,,
192.0,2022-08-20 00:00:00,fo,Falun Gong,vor Thalia,12:00 Uhr - 16:30 Uhr,10,,erl.,72,erl. 20.08.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
193.0,2022-08-20 00:00:00,fo,"Verkündigung der frohen Botschaft, des Evangeliums, dem Menschen zum Heil, Gott zurEhre",Höhe Karl-Marx-Straße,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
194.0,2022-08-20 00:00:00,fo,Schluss mit den Angriffen und der völkerrechtswidrigen Besatzung Kurdistans! Schluss mit den Angriffen auf Rojava!,vor ECE,16:00 Uhr - 17:30 Uhr,siebzig,,erl.,,,,,,
195.0,2022-08-20 00:00:00,fo,Botschaft der Bibel,vor Lego Store,12:00 Uhr - 17:00 Uhr,fünfzehn,,erl.,,,,,,
,,,,,,,,,73,erl. 21.08.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
196.0,2022-08-21 00:00:00,fo,Kriegsgeschehen in der Urkaine ,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
,,,,,,,,,74,erl. 22.08.2022,fo,Montagdemo,20-40,
197.0,2022-08-23 00:00:00,fo,Europäische Bürgerinitiative (EBI) gegen Tierversuche ,SJM,11:00 - 12:00 Uhr,15,abgesagt,erl.,,,,,,
198.0,2022-08-24 00:00:00,fo,Gegen den Krieg in der Ukraine,Saarbrücker Schloss,20:00 Uhr - 22:00 Uhr,400-600,,erl.,75,erl. 24.08.2022,fo,Kriegsgeschen in der Ukraine,400-600,
,,,,,,,,,76,erl .25.08.2022,fo,ARD Leuchtturm,20,
199.0,2022-08-27 00:00:00,fo,"Tierrechte, Veganismus",Bahnhofstraße vor Lego ,14:00 Uhr - 18:00 Uhr ,20,,erl.,,,,,,
200.0,2022-08-27 00:00:00,fo,Aufklärung über den politischen Islam,ECE Höhe Karl-Marx-Straße,12:00 Uhr - 17:00 Uhr,20,,erl.,,,,,,
,,,,,,,,,77,erl. 28.08.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",500,
201.0,2022-09-01 00:00:00,fo,Antikriegstag,vor Thalia,13:00 Uhr - 15:00 Uhr ,20,,erl.,,,,,,
,,,,,,,,,,,,,,
202.0,2022-09-01 00:00:00,fo,ARD Leuchttrum,Maizer Straße/Franz-Mai-Straße,17:00 Uhr -19:15 Uhr,10 bis 20,,erl.,,,,,,
203.0,2022-09-03 00:00:00,fo,"Anlässlich des 01.09. ""Antikriegstag"": Schluss mit dem türkischen Angriffskrieg auf die kurdischen Regionen in Rojava",vor ECE,16:00 Uhr - 18:00 Uhr,achzig,,erl.,,,,,,
,,,,,,,,,,,,,,
204.0,2022-09-04 00:00:00,fo,Kriegsgeschehen in der Ukraine,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,78,erl. 04.09.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
,,,,,,,,,79,erl. 05.09.2022,fo,Montagsdemo,20,
,,,,,,,,,,,,,,
205.0,2022-09-08 00:00:00,fo,ARD Leuchtturm,Franz-Mai-Straße,17:00 Uhr -19:15 Uhr,15-20,,erl.,,,,,,
206.0,2022-09-08 00:00:00,fo,Weg mit dem Dreck-Bauruine abreißen-Sozialwohnungen Bauen,LuisenthalerStraße Burbach,18:30 Uhr . 19:15,10,,erl.,,,,,,
207.0,2022-09-09 00:00:00,fo,Faire Honorare für freischaffende Berufsmusiker/innen,vor Kultusministerium,9:00 Uhr - 9:15 Uhr,25,,erl.,80,erl. 09.09.2022,fo,Radfahren for Justice,5,
,2022-09-10 00:00:00,,,,,,,,,,,,,
208.0,2022-09-10 00:00:00,fo,Tierrechte Veganismus,Bahnhofstraße 77,14:00 Uhr - 18:00 Uhr ,20,,erl.,,,,,,
, ,,,,,,,,81,erl. 11.09.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
,,,,,,,,,82,erl. 11.09.2022,fo,Nazi-Safari-Gegendemo,10,
209.0,2022-09-14 00:00:00,fo,ARD Leuchttrum,SJM,17:00 Uhr - 19:00 Uhr,bis 20,,erl.,,,,,,
210.0,2022-09-16 00:00:00,fo,Parking Day,Burbach-Breitestraße,13:00 Uhr - 19:00 Uhr ,50,,erl.,,,,,,
211.0,2022-09-16 00:00:00,fo,FFF Spontanversammlung,SJM,18:00 Uhr - 19:30 Uhr,7,,erl.,,,,,,
212.0,2022-09-17 00:00:00,fo,In wessen Haut steckst du?,ECE 2,14:30 Uhr - 17:30 Uhr,15,,erl.,83,erl. 17.09.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
213.0,2022-09-17 00:00:00,fo,Botschaft der Bibel,Höhe Karl-Marx-Straße,12:00 Uhr - 17:00 Uhr,15,,erl,84,erl. 17.09.2022,fo,Autokorso,30,
214.0,2022-09-17 00:00:00,fo,"Verkündigung der Frohen Botschaft, dem Evangelium Jesu Christi zur Erbauung und Trost in einer gefallenen Welt",ECE 1,10:00 Uhr - 15:00 Uhr ,4 bis 7,,erl.,,,,,,
215.0,2022-09-17 00:00:00,fo,Sühne- und Bittgebet,Am Staden Heinestraße,11:00 Uhr - 11:30 Uhr,15-22,,erl.,,,,,,
216.0,2022-09-18 00:00:00,fo,Kriegsgeschehen in der Ukraine ,Max-Ophüls-Platz,13:00 Uhr - 15:00 Uhr ,300-500,,erl.,85,erl. 18.09.2022,fo,Fancy Women Bike Ride,250,
,,,,,,,,,,,,,,
217.0,2022-09-20 00:00:00,fo,Kinderschutz,Landtag,10:00 Uhr - 15:00 Uhr,300,,erl.,,,,,,
218.0,2022-09-22 00:00:00,fo,ARD Leuchtturm,SJM,17:00 Uhr - 19:00 Uhr, 7 bis 20,,erl.,,,,,,
,,,,,,,,,86,erl. 23.09.2022,fo,Schluss mit der Jagd auf Prädatoren - Verbot von Schliefanlagen,100-150,
219.0,2022-09-24 00:00:00,fo,Fest for Future ,Park am Staatstheater ,14:00 Uhr - 22:00 Uhr ,500,,erl.,87,erl. 24.09.2022,fo,Fahrradkinderdemo-Kidical Mass,Willy-Graf-Ufer,
220.0,2022-09-24 00:00:00,fo, ,Bahnhofstraße 77,14:00 Uhr - 18:00 Uhr ,20,,erl.,,,,,,
221.0,2022-09-24 00:00:00,fo,KGZ,vor ECE,14:00 Uhr - 15:00 Uhr,50,,erl.,,,,,,
222.0,2022-09-25 00:00:00,fo,Kriegsgeschehen in der Ukraine,MOP,13:00 Uhr - 15:00 Uhr,300-400,,abgesagt,88,erl. 25.09.2022,fo,Energiekrise stoppen – Nordstream 2 öffnen Coronamaßnahmen stoppen – Rücktritt der Regierung,200,
,,,,,,,,,89,abgesagt25.09.2022,fo,Kinderdemo,20,
223.0,2022-09-28 00:00:00,fo,Tierrechtskampagne am Weltschulmilchtag - Sag nein zu Milch!,ECE 1-3,16:00 Uhr - 20:00 Uhr,20,,erl.,,,,,,
224.0,2022-09-28 00:00:00,fo,Safe Abortion Day,GRP,13:30 Uhr - 18:00 Uhr,10 bis 15,,erl.,,,,,,
225.0,2022-09-29 00:00:00,fo,ARD Leuchtturm,SJM,17:00 Uhr - 19:00 Uhr,8 bis 15 ,,erl.,,,,,,
226.0,2022-09-30 00:00:00,fo,Für das Recht auf Familie bei Geflüchteten,vor ECE,16:30 Uhr - 18:30 Uhr,50-80,,erl.,,,,,,
227.0,2022-10-01 00:00:00,fo,Botschaft der Bibel,ECE Höhe K-M-Str.,12:00 Uhr - 17:00 Uhr,10,abgesagt,erl.,,,,,,
228.0,2022-10-01 00:00:00,fo,Botschaft des Evangeliums,ECE 1,10:00 Uhr - 15:00 Uhr,5 bis 10,abgesagt,erl.,,,,,,
229.0,2022-10-01 00:00:00,fo,Tierleid für Wolle, ECE2,14:30 Uhr - 17:30 Uhr,15,abgesagt,erl.,,,,,,
230.0,2022-10-01 00:00:00,fo,"Bundesweiter Aktionstag: Keinen Euro für Krieg und Zerstörung!  Statt dessen Milliarden für eine soziale, gerechte und ökologische Friedenspolitik! Stoppt den Krieg! Verhandeln statt Schießen!",SJM,11:00 Uhr - 13:00 Uhr,50,,erl.,90,erl. 02.10.2022,fo,Gegen die steigenden Lebenserhaltungskosten – Für den Frieden – Regierungsperiode stoppen,500,
,,,,,,,,,,02.10.2022 Verkaufsoffener Sonntag,,,,
231.0,2022-10-04 00:00:00,fo,Tel. 01705986552 Protest und Mahnwache anlässlich bevorstehender Schließung des EVK,vor ev. Krankenhaus,divers,100,,erl.,,,,,,
232.0,2022-10-05 00:00:00,fo,Leuchttrum ARD,SJM,17:00 Uhr - 19:00 Uhr,8 bis 15 ,,erl.,,,,,,
233.0,2022-10-05 00:00:00,fo,Protest gegen Ermordung,vor ECE,17:00 Uhr - 18:00 Uhr,50,Eilversammlung,erl.,,,,,,
,,,,,,,,,,,,,,
234.0,2022-10-08 00:00:00,fo,Freiheit für Öcalan,vor ECE,14:30 Uhr -16:00 Uhr,80,,erl.,,,,,,
235.0,2022-10-08 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",Bahnhofstraße 77,14:00 Uhr- 18:00 Uhr,20,,erl.,,,,,,
236.0,2022-10-08 00:00:00,fo,Mahnwache zur Sollidarität mit der trans- undLGBTQI*-Community,hinter SST,11:00 Uhr - 12:00 Uhr,50-100,,erl.,,,,,,
237.0,2022-10-08 00:00:00,fo,Verkündigung der Frohen Botschaft,ECE 1,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
,,,,,,,,,91,erl. 09.10.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
,,,,,,,,,92,erl. 10.10.2022,fo,502. Saarbrücker Montagsdemo gegen die Hartz-Gesetze,20,
238.0,2022-10-12 00:00:00,fo,Bauvorhaben Knappenroth,Kleingartenanlage,18:00 Uhr - 20:30 Uhr,200,,erl.,,,,,,
239.0,2022-10-13 00:00:00,fo,Leuchttrum ARD,SJM,17:00 Uhr - 19:00 Uhr,5 bis 15,,erl.,,,,,,
240.0,2022-10-14 00:00:00,fo,"Solidarität mit den Protesten im Iran unter dem Motto: Frauen, Leben, Freiheit",vor ECE,16:00 Uhr - 18:00 Uhr,200,,erl.,,,,,,
241.0,2022-10-15 00:00:00,fo,Lichtermeer Sternenkinder - Aufstellen von 3500 Kerzen,Ludwigsplatz,19:00 Uhr - 20:00 Uhr,200,,erl.,,,,,,
242.0,2022-10-15 00:00:00,fo,Botschaft des Evangeliums,BhfStr. Vor Primarkt,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
243.0,2022-10-15 00:00:00,fo,Wir setzen uns ein für die reproduktive Selbstbestimmung,Heinestraße 2-4,14:00 Uhr - 18:00 Uhr,250,,erl.,93,erl. 15.10.2022,fo,Marsch für das Leben,150-200,
244.0,2022-10-15 00:00:00,fo ,Der Puisbruderschaft Einhalt gebieten,ECE 1,15:00 Uhr - 19:00 Uhr,50,,erl.,,,,,,
245.0,2022-10-16 00:00:00,fo ,"Keine Segnung der Jäger bei der Hubertusmesse, Gedenken an die 5,5 Mio Wildtiere die jährlich sterben",Stiftskirche St. Arnual,8:30 Uhr - 11:30 Uhr,50,,erl.,94,erl.16.10.2022,fo,"Zensur, Inflation, Frieden, Gaskrise, wirtschftlicher Kollaps",200,
,,,,,,,,,,,,,,
246.0,2022-10-17 00:00:00,fo,"Bürgergeld, Gas- und Strompreiskrise, Lebensmittelpreise, Bezahlbarer ÖPNV. Für ein menschenwürdiges Leben-jetzt erst recht!",vor ECE,17:00 Uhr - 18:15 Uhr,50,,erl.,,,,,,
247.0,2022-10-19 00:00:00,fo,"Protest zum GKV Finanzstabilisierungsgesetz zu Lasten der Apotheke, Info von Patienten und Kunden, findet saarlandweit statt - Aufruf der Apothekerkammer",BfSt. Vor Viktoria Apotheke,12:00 Uhr - 19:00 Uhr,2,,erl.,95,Eilvers.19.10.2022,PI,KGZ-Eilversammlung,400,von der PI Burbach bearbeitet
248.0,2022-10-19 00:00:00,fo,Nicht angmeldete Aktion bzgl. Kita Plätze,Grundschule Malstatt,,,,nicht angemeldet,,,,,,
249.0,2022-10-20 00:00:00,fo,ARD Leuchttrum,SJM,16:00 Uhr - 18:00 Uhr,8 bis 20,,erl.,,,,,,
250.0,2022-10-22 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",Bahnhofstraße 77,14:00 Uhr - 18: 00 Uhr,20,,erl.,,,,,,
